Nº,Categoria,Cargo,Empresa,Local,País,Tipo,Seniority,Match,Canal,Data_Candidatura,Etapa,Resposta,Notas_Processo,URL,Keywords_JD
1,Design Engineer,Design Engineer (Presence),Stripe,New York NY,EUA,IC,Senior,Alto,Portal,2026-03-04,Recusado,S,,https://www.linkedin.com/jobs/view/design-engineer-presence-at-stripe-4359716582,"HTML/CSS avançado · React · Figma · WebGL · Design Systems · Animação web · Portfolio com código"
2,Design Engineer,Design Engineer (Presence),Stripe,San Francisco CA,EUA,IC,Senior,Alto,Portal,2026-03-04,Recusado,S,,https://www.linkedin.com/jobs/view/design-engineer-presence-at-stripe-4359678143,"HTML/CSS avançado · React · Figma · WebGL · Design Systems · Animação web · Portfolio com código"
3,Design Engineer,Design Engineer (Presence),Stripe,Remote (US),EUA,IC,Senior,Alto,Portal,2026-03-04,Recusado,S,,https://www.linkedin.com/jobs/view/design-engineer-presence-at-stripe-4359760836,"HTML/CSS avançado · React · Figma · WebGL · Design Systems · Animação web · Portfolio com código"
4,Design Engineer,Design Engineer (Presence),Stripe,Seattle WA,EUA,IC,Senior,Alto,Portal,2026-03-04,Recusado,S,,https://www.linkedin.com/jobs/view/design-engineer-presence-at-stripe-4359458195,"HTML/CSS avançado · React · Figma · WebGL · Design Systems · Animação web · Portfolio com código"
5,Design Engineer,Design Engineer (Expansion),Stripe,New York NY,EUA,IC,Senior,Alto,Portal,2026-03-04,Aplicado,,,https://www.linkedin.com/jobs/view/design-engineer-expansion-at-stripe-4359648273,"React · TypeScript · Figma · Design Systems · Interaction Design · Acessibilidade"
6,Design Engineer,Design Engineer (Expansion),Stripe,Remote (US),EUA,IC,Senior,Alto,Portal,2026-03-04,Aplicado,,,https://www.linkedin.com/jobs/view/design-engineer-expansion-at-stripe-4359428730,"React · TypeScript · Figma · Design Systems · Interaction Design · Acessibilidade"
7,Design Engineer,Design Engineer (Expansion),Stripe,San Francisco CA,EUA,IC,Senior,Alto,Portal,2026-03-04,Aplicado,,,https://www.linkedin.com/jobs/view/design-engineer-expansion-at-stripe-4359696546,"React · TypeScript · Figma · Design Systems · Interaction Design · Acessibilidade"
8,Design Engineer,Design Engineer (Expansion),Stripe,Seattle WA,EUA,IC,Senior,Alto,Portal,2026-03-04,Aplicado,,,https://www.linkedin.com/jobs/view/design-engineer-expansion-at-stripe-4359478280,"React · TypeScript · Figma · Design Systems · Interaction Design · Acessibilidade"
9,Design Engineer,Design Engineer,Ramp,New York NY,EUA,IC,Senior,Alto,Portal,2026-03-04,Recusado,S,,https://www.linkedin.com/jobs/view/design-engineer-at-ramp-4370898894,"React · TypeScript · CSS · Figma · Cursor · Claude Code · Design Tokens · Component Library · AI-native · B2B SaaS"
10,Design Engineer,Design Engineer,Ramp,San Francisco CA,EUA,IC,Senior,Alto,Portal,2026-03-04,Recusado,S,,https://www.linkedin.com/jobs/view/design-engineer-at-ramp-4370916006,"React · TypeScript · CSS · Figma · Cursor · Claude Code · Design Tokens · Component Library · AI-native · B2B SaaS"
11,Design Engineer,Design Engineer,Ramp,Remote (US),EUA,IC,Senior,Alto,Portal,2026-03-04,Recusado,S,,https://www.linkedin.com/jobs/view/design-engineer-at-ramp-4370907943,"React · TypeScript · CSS · Figma · Cursor · Claude Code · Design Tokens · Component Library · AI-native · B2B SaaS"
12,Design Engineer,Design Engineer,Vercel,Remote (US),EUA,IC,Senior,Alto,Portal,2026-03-04,Aplicado,,,https://www.linkedin.com/jobs/view/design-engineer-at-vercel-4343014632,"React · Next.js · TypeScript · CSS · Design Systems · Figma · Developer Tools · Performance"
13,Design Engineer,Senior Design Engineer,Cloudflare,Austin TX,EUA,IC,Senior,Alto,LinkedIn Apply,2026-03-04,Aplicado,,,https://www.linkedin.com/jobs/view/senior-design-engineer-at-cloudflare-4352210482,"TypeScript · React · Figma · Frontend Architecture · Distributed Systems · DevEx · Dashboard · DX"
14,Design Engineer,Design Engineer,MrBeast,Remote (US),EUA,IC,Senior,Médio,LinkedIn Easy Apply,2026-03-03,Arquivado,N,,https://www.linkedin.com/jobs/view/design-engineer-at-mrbeast-4367364083,"Figma · React · Design Systems · Brand · Motion · Creative Technology"
15,Design Engineer,Design Engineer (Core Product),Snap Inc.,Los Angeles CA,EUA,IC,Senior,Médio,LinkedIn Easy Apply,2026-03-03,Arquivado,N,,https://www.linkedin.com/jobs/view/design-engineer-core-product-at-snap-inc-4359630488,"React · TypeScript · Mobile · Design Systems · Interaction Design · Consumer Product"
16,Design Engineer,Senior UI Design Engineer,ClickUp,Remote (US),EUA,IC,Senior,Alto,,,Arquivado,N,,https://www.linkedin.com/jobs/view/senior-ui-design-engineer-at-clickup-4354722356,"React · TypeScript · CSS · Design Systems · UI Engineering · SaaS · B2B"
17,Design Engineer,Senior Design Engineer II,Kit,Remote (US),EUA,IC,Senior,Baixo,,,Arquivado,N,Salário baixo: $2100-3000/mês · Não aceita candidaturas (verificado 2026-04-23),https://www.linkedin.com/jobs/view/senior-design-engineer-ii-at-kit-4372781678,"React · Design Systems · Figma · CSS · Email Marketing Platform · Developer Tools"
18,Design Engineer,Design Engineer,Circle,New York NY,EUA,IC,Senior,Médio,LinkedIn Easy Apply,2026-03-03,Aplicado,,,https://www.linkedin.com/jobs/view/design-engineer-at-circle-4367655330,"React · TypeScript · Design Systems · Fintech · Web3"
19,Design Engineer,Design Engineer,ComfyUI,San Francisco CA,EUA,IC,Senior,Médio,LinkedIn Easy Apply,2026-03-03,Aguardando Retorno,S,HM aprovou perfil · Tech Screen realizado 2026-04-29 com Pablo · Conversa boa: foram além do tech screen e discutiram oportunidade no site (recém-lançado mas falta refino e DX) · Email follow-up enviado via Paula com Pablo em cópia · Compartilhei Lukso · Portfolio V2 · Azion Webkit · Console Kit,https://www.linkedin.com/jobs/view/design-engineer-at-comfyui-4374444507,"React · TypeScript · AI Tools · Design Systems · Developer Interface · Website Refinement · Micro-interactions"
20,Design Engineer,Senior Technical Product Designer (Design Platform),TikTok,San Jose CA,EUA,IC,Senior,Alto,,,Arquivado,N,,https://www.linkedin.com/jobs/view/senior-technical-product-designer-design-platform-san-jose-at-tiktok-4369311501,"Design Systems · Component Architecture · Figma · Technical Product Design · Design Platform · Developer Tools"
21,Design Engineer,Principal Design Engineer,Zephyr Cloud,Remote (US),EUA,IC,Principal,Alto,,,Arquivado,N,,https://www.linkedin.com/jobs/view/principal-design-engineer-at-zephyr-cloud-4377035024,"React · TypeScript · Design Systems · Cloud · Edge · DevEx · Platform Design"
22,Design Engineer,Sr Design Engineer,CBS Sports,New York NY,EUA,IC,Senior,Médio,,2026-03-03,Arquivado,N,,https://www.linkedin.com/jobs/view/sr-design-engineer-at-cbs-sports-4366610141,"React · CSS · Design Systems · Media · Interactive · Sports Tech"
23,Design Systems,Senior Visual Designer (Design Systems YouTube),Google,San Bruno CA,EUA,IC,Senior,Alto,Portal,2026-03-14,Aplicado,,,https://www.linkedin.com/jobs/view/senior-visual-designer-design-systems-youtube-at-google-4369144157,"Design Systems · Visual Design · Figma · Brand · Product · YouTube · Component Library"
24,Design Systems,Senior Design Systems Designer,StubHub,New York NY,EUA,IC,Senior,Alto,LinkedIn Apply,2026-03-14,Aplicado,,,https://www.linkedin.com/jobs/view/senior-design-systems-designer-at-stubhub-4357405656,"Design Systems · Figma · Tokens · Component Library · Accessibility · Atomic Design · Documentation"
25,Design Systems,Senior Design Systems Designer,StubHub,Los Angeles CA,EUA,IC,Senior,Alto,LinkedIn Apply,2026-03-14,Aplicado,,,https://www.linkedin.com/jobs/view/senior-design-systems-designer-at-stubhub-4357545517,"Design Systems · Figma · Tokens · Component Library · Accessibility · Atomic Design · Documentation"
26,Design Systems,Senior Designer - Design Systems,ID.me,Mountain View CA,EUA,IC,Senior,Alto,,,Mapeado,,,https://www.linkedin.com/jobs/view/senior-designer-design-systems-at-id-me-4338446360,"Design Systems · Figma · Component Library · Identity · Accessibility · UI Design · Tokens"
27,Design Systems,Senior Product Designer (Design Systems),Strava,Denver CO,EUA,IC,Senior,Alto,LinkedIn Apply,2026-03-14,Aplicado,,,https://www.linkedin.com/jobs/view/senior-product-designer-design-systems-at-strava-4363127052,"Design Systems · Figma · Product Design · Tokens · Sports/Health Tech · Component Library"
